Video_ID,Title_Length,Upload_Hour,Thumbnail_Color,Current_Subscribers,Views
1,45,17,Red,50000,15500
2,32,10,Blue,1500,450
3,60,18,Red,300000,95000
4,25,03,Green,200,60
5,55,16,Red,12000,3800
6,40,12,Orange,5000,1500
7,85,09,Blue,100000,28000
8,30,19,Red,2500,1100
9,50,14,Green,45000,12500
10,95,22,Purple,100,40
11,20,08,Red,80000,25000
12,65,17,Blue,2000,650
13,48,15,Orange,150000,48000
14,35,11,Red,6000,2100
15,15,04,Green,300,80
16,70,18,Red,55000,18000
17,52,13,Blue,22000,6100
18,41,20,Purple,1200,450
19,63,16,Red,90000,32000
20,28,07,Green,4000,1100
21,58,19,Red,11000,3500
22,33,02,Blue,800,220
23,75,15,Orange,67000,21500
24,44,18,Red,25000,8200
25,39,12,Green,9000,2600
26,90,23,Purple,50,15
27,47,17,Red,40000,13000
28,55,10,Blue,3000,950
29,62,14,Red,18000,5500
30,22,06,Orange,500,180
31,50,18,Red,75000,24000
32,38,09,Blue,12000,3500
33,65,17,Red,200000,65000
34,29,03,Green,400,110
35,58,15,Red,22000,7100
36,42,13,Orange,8500,2400
37,80,08,Blue,95000,29000
38,33,20,Red,4500,1600
39,54,14,Green,50000,15500
40,92,21,Purple,150,60
41,25,07,Red,60000,19000
42,60,16,Blue,3500,950
43,45,16,Orange,120000,38000
44,38,12,Red,9000,3100
45,18,04,Green,500,140
46,72,19,Red,70000,22500
47,55,13,Blue,18000,5200
48,44,21,Purple,2000,550
49,66,15,Red,85000,28500
50,29,06,Green,3000,850
51,60,20,Red,15000,4800
52,35,02,Blue,900,250
53,78,14,Orange,55000,17500
54,48,18,Red,30000,9800
55,41,11,Green,7000,2200
56,88,23,Purple,80,25
57,50,17,Red,45000,14500
58,57,10,Blue,4000,1150
59,64,15,Red,21000,6800
60,24,05,Orange,600,190
61,46,16,Red,52000,16500
62,33,09,Blue,1800,500
63,61,19,Red,320000,105000
64,26,02,Green,250,75
65,56,17,Red,14000,4500
66,41,13,Orange,6000,1800
67,86,10,Blue,110000,32000
68,31,20,Red,2800,1000
69,51,15,Green,48000,14000
70,96,22,Purple,120,45
71,21,08,Red,85000,27000
72,66,16,Blue,2200,680
73,49,14,Orange,160000,51000
74,36,12,Red,7000,2300
75,16,03,Green,350,100
76,71,17,Red,58000,18500
77,53,12,Blue,25000,7200
78,42,21,Purple,1400,400
79,64,15,Red,95000,30500
80,27,06,Green,4200,1200
81,59,18,Red,12500,4100
82,34,01,Blue,850,240
83,76,16,Orange,70000,22000
84,45,19,Red,27000,8500
85,40,11,Green,9500,2800
86,91,23,Purple,60,20
87,48,16,Red,42000,13500
88,56,09,Blue,3200,900
89,63,15,Red,19000,6000
90,23,05,Orange,550,160
91,49,18,Red,48000,15200
92,36,08,Blue,1300,380
93,64,17,Red,290000,92000
94,28,03,Green,220,65
95,58,16,Red,13000,4100
96,43,12,Orange,5200,1600
97,89,10,Blue,98000,28500
98,33,19,Red,2600,950
99,53,15,Green,46000,13500
100,98,22,Purple,110,35
101,23,07,Red,82000,26000
102,68,18,Blue,2100,620
103,51,14,Orange,155000,49500
104,38,11,Red,6500,2000
105,18,04,Green,320,90
106,73,17,Red,56000,17800
107,55,13,Blue,23000,6900
108,44,20,Purple,1300,380
109,66,16,Red,92000,29500
110,31,07,Green,4100,1150
111,61,19,Red,11500,3600
112,36,02,Blue,820,230
113,78,15,Orange,68000,21800
114,47,18,Red,26000,8100
115,42,12,Green,9200,2700
116,93,23,Purple,55,18
117,50,17,Red,41000,13200
118,58,10,Blue,3100,880
119,65,14,Red,18500,5800
120,25,06,Orange,520,150
121,53,18,Red,78000,25000
122,41,09,Blue,12500,3600
123,68,17,Red,210000,68000
124,32,03,Green,450,130
125,61,15,Red,23000,7400
126,45,13,Orange,8800,2600
127,83,08,Blue,96000,29500
128,36,20,Red,4800,1700
129,57,14,Green,52000,16200
130,95,21,Purple,160,65
131,28,07,Red,62000,19800
132,63,16,Blue,3600,1050
133,48,16,Orange,125000,40000
134,41,12,Red,9500,3300
135,21,04,Green,550,160
136,75,19,Red,72000,23000
137,58,13,Blue,19000,5600
138,47,21,Purple,2100,600
139,69,15,Red,88000,29000
140,32,06,Green,3200,920
141,63,20,Red,16000,5100
142,38,02,Blue,950,280
143,81,14,Orange,58000,18500
144,51,18,Red,32000,10500
145,44,11,Green,7500,2350
146,91,23,Purple,85,30
147,53,17,Red,47000,15000
148,60,10,Blue,4200,1250
149,67,15,Red,22000,7100
150,27,05,Orange,650,210
